time,frequency,confidence
0.000,165.026,0.438347
0.010,166.321,0.563109
0.020,82.679,0.611252
0.030,82.346,0.911191
0.040,82.241,0.940969
0.050,82.256,0.934878
0.060,82.286,0.942807
0.070,82.367,0.951360
0.080,82.373,0.958204
0.090,82.296,0.953874
0.100,82.273,0.945177
0.110,82.158,0.933694
0.120,82.139,0.939166
0.130,82.061,0.939619
0.140,82.115,0.941763
0.150,82.181,0.942723
0.160,82.217,0.941708
0.170,82.232,0.941354
0.180,82.235,0.952830
0.190,82.208,0.952871
0.200,82.230,0.951493
0.210,82.286,0.951760
0.220,82.223,0.943125
0.230,82.199,0.942831
0.240,82.241,0.954217
0.250,82.227,0.954346
0.260,82.186,0.952079
0.270,82.242,0.944021
0.280,82.164,0.935224
0.290,82.257,0.945115
0.300,82.285,0.949693
0.310,82.276,0.951036
0.320,82.304,0.951876
0.330,82.241,0.943675
0.340,82.120,0.932864
0.350,82.186,0.944115
0.360,82.266,0.953224
0.370,82.298,0.954332
0.380,82.366,0.952155
0.390,82.262,0.942726
0.400,82.204,0.939053
0.410,82.138,0.938100
0.420,82.130,0.935425
0.430,82.185,0.941579
0.440,82.303,0.939878
0.450,82.261,0.943211
0.460,82.286,0.946737
0.470,82.276,0.950243
0.480,82.229,0.947482
0.490,82.243,0.946487
0.500,82.262,0.943456
0.510,82.192,0.941236
0.520,82.229,0.951704
0.530,82.279,0.957084
0.540,82.259,0.958637
0.550,82.317,0.955252
0.560,82.249,0.951149
0.570,82.231,0.946154
0.580,82.199,0.943817
0.590,82.211,0.943284
0.600,82.279,0.947462
0.610,82.247,0.946294
0.620,82.149,0.946051
0.630,82.158,0.942330
0.640,82.127,0.944498
0.650,82.189,0.951835
0.660,82.192,0.949641
0.670,82.210,0.948918
0.680,82.192,0.948790
0.690,82.183,0.947397
0.700,82.218,0.949140
0.710,82.224,0.951795
0.720,82.220,0.946023
0.730,82.241,0.950131
0.740,82.225,0.947750
0.750,82.174,0.940206
0.760,82.218,0.946914
0.770,82.238,0.950778
0.780,82.198,0.947348
0.790,82.109,0.940221
0.800,82.102,0.937284
0.810,82.080,0.941463
0.820,82.191,0.950124
0.830,82.272,0.955930
0.840,82.237,0.956331
0.850,82.226,0.951429
0.860,82.174,0.943483
0.870,82.166,0.942612
0.880,82.200,0.940668
0.890,82.173,0.940261
0.900,82.186,0.945564
0.910,82.228,0.949066
0.920,82.089,0.939034
0.930,82.171,0.941908
0.940,82.143,0.938188
0.950,82.134,0.942224
0.960,82.112,0.937831
0.970,82.151,0.936811
0.980,82.167,0.941381
0.990,82.213,0.945797
1.000,82.224,0.949738
1.010,82.168,0.947992
1.020,82.201,0.946022
1.030,82.191,0.937471
1.040,82.189,0.932846
1.050,82.303,0.929125
1.060,82.423,0.936657
1.070,82.708,0.924958
1.080,83.168,0.853664
1.090,84.343,0.768873
1.100,85.239,0.833285
1.110,85.026,0.898370
1.120,84.901,0.891209
1.130,84.958,0.859257
1.140,85.145,0.785025
1.150,85.413,0.808379
1.160,85.276,0.793943
1.170,84.825,0.822280
1.180,84.134,0.836582
1.190,83.665,0.889353
1.200,83.293,0.906295
1.210,83.165,0.920718
1.220,83.107,0.907277
1.230,82.961,0.906237
1.240,82.703,0.912699
1.250,82.664,0.886846
1.260,82.780,0.873804
1.270,83.128,0.818031
1.280,83.097,0.724925
1.290,83.105,0.499400
1.300,248.399,0.470814
1.310,249.037,0.584901
1.320,248.747,0.607827
1.330,82.901,0.499689
1.340,82.827,0.747332
1.350,82.664,0.785854
1.360,82.576,0.775569
1.370,82.389,0.896913
1.380,82.226,0.924684
1.390,82.389,0.944785
1.400,82.572,0.944257
1.410,82.723,0.965332
1.420,82.702,0.969019
1.430,82.607,0.968328
1.440,82.495,0.962632
1.450,82.529,0.960751
1.460,82.620,0.962342
1.470,82.626,0.948764
1.480,82.579,0.906026
1.490,82.445,0.923866
1.500,82.422,0.895268
1.510,82.856,0.361386
1.520,82.634,0.299519
1.530,126.773,0.101491
1.540,251.199,0.173036
1.550,123.646,0.072081
1.560,121.104,0.279419
1.570,121.267,0.237268
1.580,122.428,0.145819
1.590,122.856,0.464071
